0,0
0,0
50455,78498
100910,156962
151365,235437
201820,313887
252275,392354
302730,470827
353185,549274
403640,627744
454095,706219
504550,784664
555005,863136
605460,941605
655915,1020054
706370,1098529
756825,1176994
807280,1255444
857735,1333919
908190,1412382
958645,1490832
1009100,1569312
1059555,1647774
1110010,1726225
1160465,1804699
1210920,1883166
1261375,1961615
1311830,2040093
1362285,2118557
1412740,2197009
1463195,2275480
1513650,2353948
1564105,2432402
1614560,2510868
1665015,2589340
1715470,2667791
1765925,2746255
1816380,2824726
1866835,2903177
1917290,2981643
1967745,3060114
2018200,3138571
2068655,3217031
2119110,3295503
2169565,3373959
2220020,3452419
2270475,3530894
2320930,3609349
2371385,3687806
2421840,3766282
2472295,3844738
2522750,3923195
2573205,4001673
2623660,4080129
2674115,4158589
2724570,4237059
2775025,4315516
2825480,4393979
2875935,4472446
2926390,4550904
2976845,4629366
3027300,4707837
3077755,4786293
3128210,4864758
3178665,4943228
3229120,5021687
3279575,5100147
3330030,5178620
3380485,5257076
3430940,5335537
3481395,5414008
3531850,5492464
3582305,5570926
3632760,5649396
3683215,5727855
3733670,5806317
3784125,5884787
3834580,5963249
3885035,6041706
3935490,6120175
3985945,6198639
4036400,6277096
4086855,6355564
4137310,6434030
4187765,6512484
4238220,6590952
4288675,6669421
4339130,6747874
4389585,6826340
4440040,6904808
4490495,6983266
4540950,7061729
4591405,7140196
4641860,7218659
4692315,7297119
4742770,7375587
4793225,7454049
4843680,7532513
4894135,7610974
4944590,7689437
4995045,7767905
5045500,7846363
5095955,7924825
5146410,8003295
5196865,8081753
5247320,8160215
5297775,8238684
5348230,8317142
5398685,8395604
5449140,8474070
5499595,8552536
5550050,8630997
5600505,8709460
5650960,8787925
5701415,8866390
5751870,8944850
5802325,9023312
5852780,9101778
5903235,9180238
5953690,9258700
6004145,9337167
6054600,9415628
6105055,9494088
6155510,9572556
6205965,9651021
6256420,9729478
6306875,9807943
6357330,9886410
6407785,9964867
6458240,10043337
6508695,10121800
6559150,10200256
6609605,10278725
6660060,10357185
6710515,10435648
6760970,10514113
6811425,10592573
6861880,10671033
6912335,10749501
6962790,10827965
7013245,10906420
7063700,10984888
7114155,11063351
7164610,11141809
7215065,11220278
7265520,11298739
7315975,11377196
7366430,11455666
7416885,11534126
7467340,11612588
7517795,11691058
7568250,11769517
7618705,11847976
7669160,11926453
7719615,12004907
7770070,12083366
7820525,12161839
7870980,12240298
7921435,12318758
7971890,12397229
8022345,12475686
8072800,12554145
